
Features for node 0
Feature 0 Cut 0 1
Feature 1 Cut 1 2
Feature 2 Cut 2 3
Feature 3 Cut 3 4
Feature 4 Cut 4 5
Feature 5 Cut 5 261
Feature 6 Cut 261 517
Feature 7 Cut 517 773
Feature 8 Cut 773 1029
Feature 9 Cut 1029 1285
Feature 10 Cut 1285 1541
Feature 11 Cut 1541 1797
Feature 12 Cut 1797 2053
Feature 13 Cut 2053 2309
Feature 14 Cut 2309 2565
Feature 15 Cut 2565 2821
Feature 16 Cut 2821 3077
Feature 17 Cut 3077 3333
Feature 18 Cut 3333 3589
Feature 19 Cut 3589 3845
Feature 20 Cut 3845 4101
Feature 21 Cut 4101 4357
Feature 22 Cut 4357 4613
Feature 23 Cut 4613 4869
Feature 24 Cut 4869 5125
Feature 25 Cut 5125 5381
Feature 26 Cut 5381 5637
Feature 27 Cut 5637 5893
Feature 28 Cut 5893 6149
Feature 29 Cut 6149 6370

Features for node 1
Feature 0 Cut 0 1
Feature 1 Cut 1 2
Feature 2 Cut 2 3
Feature 3 Cut 3 4
Feature 4 Cut 4 5
Feature 5 Cut 5 261
Feature 6 Cut 261 517
Feature 7 Cut 517 773
Feature 8 Cut 773 1029
Feature 9 Cut 1029 1285
Feature 10 Cut 1285 1541
Feature 11 Cut 1541 1797
Feature 12 Cut 1797 2053
Feature 13 Cut 2053 2309
Feature 14 Cut 2309 2565
Feature 15 Cut 2565 2821
Feature 16 Cut 2821 3077
Feature 17 Cut 3077 3333
Feature 18 Cut 3333 3589
Feature 19 Cut 3589 3845
Feature 20 Cut 3845 4101
Feature 21 Cut 4101 4357
Feature 22 Cut 4357 4613
Feature 23 Cut 4613 4869
Feature 24 Cut 4869 5125
Feature 25 Cut 5125 5381
Feature 26 Cut 5381 5637
Feature 27 Cut 5637 5893
Feature 28 Cut 5893 6149
Feature 29 Cut 6149 6370

Features for node 2
Feature 0 Cut 0 1
Feature 1 Cut 1 2
Feature 2 Cut 2 3
Feature 3 Cut 3 4
Feature 4 Cut 4 5
Feature 5 Cut 5 261
Feature 6 Cut 261 517
Feature 7 Cut 517 773
Feature 8 Cut 773 1029
Feature 9 Cut 1029 1285
Feature 10 Cut 1285 1541
Feature 11 Cut 1541 1797
Feature 12 Cut 1797 2053
Feature 13 Cut 2053 2309
Feature 14 Cut 2309 2565
Feature 15 Cut 2565 2821
Feature 16 Cut 2821 3077
Feature 17 Cut 3077 3333
Feature 18 Cut 3333 3589
Feature 19 Cut 3589 3845
Feature 20 Cut 3845 4101
Feature 21 Cut 4101 4357
Feature 22 Cut 4357 4613
Feature 23 Cut 4613 4869
Feature 24 Cut 4869 5125
Feature 25 Cut 5125 5381
Feature 26 Cut 5381 5637
Feature 27 Cut 5637 5893
Feature 28 Cut 5893 6149
Feature 29 Cut 6149 6370
